,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Date Outbreak Began,Date Declared Over,Outbreak Status,Longitude,Latitude
1312,Seven Oaks - Special Care Unit - 1st Fl,9 Neilson Rd,LTCH,Enteric,Norovirus-like,2019-02-06,2019-02-16,Inactive,-79.2034339,43.7794412
1313,Sunnybrook Health Sciences Centre - K2W,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2019-02-06,2019-02-14,Inactive,-79.3792695,43.7235801
1314,The O'Neill Centre,33 Christie St,LTCH,Respiratory,Respiratory syncytial virus,2019-02-06,2019-02-23,Inactive,-79.4186528,43.6647391
1315,Providence Healthcare - 2nd Fl East,3278 St Clair Ave E,LTCH,Respiratory,Influenza A,2019-02-05,2019-02-15,Inactive,-79.3907639,43.6887966
1316,Extendicare Craiglee,102 Craiglee Dr,LTCH,Respiratory,Influenza A,2019-02-04,2019-02-16,Inactive,-79.2528019,43.7067792
1317,Retirement Suites By The Lake,2121 Kingston Rd,Retirement Home,Enteric,Norovirus-like,2019-02-04,2019-02-14,Inactive,-79.2561528,43.6979544
1318,Terrace Gardens,3705 Bathurst St,Retirement Home,Enteric,Norovirus-like,2019-02-04,2019-02-20,Inactive,-79.43313103248155,43.73532075
1319,Leaside Retirement Residence - 2nd & 3rd Fls - Building 10,10 William Morgan Dr,Retirement Home,Respiratory,Influenza A,2019-02-03,2019-02-15,Inactive,-79.341769,43.709379
1320,Sunnybrook Health Sciences Centre - LSSE,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2019-02-03,2019-02-13,Inactive,-79.3792695,43.7235801
1321,Village of Humber Heights Long Term Care - Brule,2245 Lawrence Ave W,LTCH,Respiratory,Unable to identify,2019-02-03,2019-02-13,Inactive,-79.527245,43.6972121
1323,St. George Care Community - 1st Fl,225 St George St,LTCH,Respiratory,Respiratory syncytial virus,2019-02-02,2019-02-11,Inactive,-79.401462,43.672538
1324,Holland Bloorview Kids Rehabilitation Hospital - 3W BIRT,150 Kilgour Rd,Hospital-Chronic Care,Enteric,Unable to identify,2019-02-01,2019-02-05,Inactive,-79.37434881971065,43.7182666
1325,Isabel & Arthur Meighen Manor - Davis & Coombs Units,155 Millwood Rd,LTCH,Enteric,Unable to identify,2019-02-01,2019-02-12,Inactive,-79.39273938941177,43.70006920470588
1326,Chartwell Westbury Long Term Care Residence,495 The West Mall,LTCH,Enteric,Norovirus-like,2019-01-31,2019-02-11,Inactive,-79.567866,43.648303
1327,Harmony Hills Care Community - 2B,1800 O'Connor Dr,LTCH,Respiratory,Influenza A,2019-01-31,2019-02-08,Inactive,-79.30522822012195,43.7204409
1328,Toronto General Hospital - 7 A & B,200 Elizabeth St,Hospital-Acute Care,Respiratory,Influenza A,2019-01-31,2019-02-08,Inactive,-79.3869528,43.6583672
1329,Fieldstone Commons Care Community - 2B Unit,1000 Ellesmere Rd,LTCH,Respiratory,Respiratory syncytial virus,2019-01-29,2019-02-05,Inactive,-79.277814,43.766995
1330,Centre for Addiction and Mental Health - Queen Site-Unit 1-4,1001 Queen St W,Hospital-Psychiatric,Respiratory,Influenza A,2019-01-28,2019-02-04,Inactive,-79.4186199,43.6438339
1331,Chartwell Scarlett Heights Retirement Residence - 2nd Fl,4005 Eglinton Ave W,Retirement Home,Enteric,Unable to identify,2019-01-28,2019-02-06,Inactive,-79.5125369,43.6836338
1332,Chester Village - 3W Ruby Unit,3555 Danforth Ave,LTCH,Respiratory,Respiratory syncytial virus,2019-01-28,2019-02-08,Inactive,-79.27409672758621,43.69413068275862
1333,Labdara Lithuanian Nursing Home - 3rd Fl,5 Resurrection Rd,LTCH,Respiratory,Respiratory syncytial virus,2019-01-28,2019-02-07,Inactive,-79.530938,43.644155
1334,Tendercare Living Centre,1020 McNicoll Ave,LTCH,Respiratory,Unable to identify,2019-01-27,2019-02-11,Inactive,-79.3361316,43.8042581
1335,Seven Oaks - 5th Fl,9 Neilson Rd,LTCH,Respiratory,Respiratory syncytial virus,2019-01-26,2019-02-04,Inactive,-79.2034339,43.7794412
1336,Fountain View Care Community,1800 O'Connor Dr,LTCH,Respiratory,Respiratory syncytial virus,2019-01-25,2019-02-14,Inactive,-79.30522822012195,43.7204409
1337,Midland Gardens Care Community - 5th Fl,130 Midland Ave,LTCH,Enteric,Unable to identify,2019-01-25,2019-02-06,Inactive,-79.2469846,43.7077593
1338,Hazelton Place - 2nd Fl,111 Avenue Rd,Retirement Home,Respiratory,Influenza A,2019-01-24,2019-02-01,Inactive,-79.3957197,43.6732425
1339,McCall Centre for Continuing Care - 3rd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Influenza A,2019-01-24,2019-02-02,Inactive,-79.562235,43.610033
1340,Providence Healthcare - A4,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza A,2019-01-24,2019-01-31,Inactive,-79.2861565,43.7135926
1341,Runnymede Healthcare Centre - 2nd Fl,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,Influenza A,2019-01-24,2019-02-01,Inactive,-79.481008,43.664497
1342,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Influenza A,2019-01-23,2019-02-07,Inactive,-79.2468577,43.7550969
1343,Village of Humber Heights Retirement Residence - Egerton,2245 Lawrence Ave W,Retirement Home,Respiratory,Respiratory syncytial virus,2019-01-23,2019-02-03,Inactive,-79.527245,43.6972121
1344,Altamont Care Community,92 Island Rd,LTCH,Respiratory,Respiratory syncytial virus,2019-01-22,2019-02-06,Inactive,-79.13997840570175,43.7988385
1345,West Park Healthcare Centre - 3WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2019-01-22,2019-02-08,Inactive,-79.5098225,43.687805
1346,Fudger House - 1 & 2 East Unit,439 Sherbourne St,LTCH,Respiratory,Metapneumovirus,2019-01-21,2019-02-04,Inactive,-79.373735,43.666208
1347,Michael Garron Hospital - J5,825 Coxwell Ave,Hospital-Acute Care,Enteric,Norovirus-like,2019-01-21,2019-01-28,Inactive,-79.3236782,43.6896572
1348,Ukrainian Canadian Care Centre,60 Richview Rd,LTCH,Respiratory,Influenza A,2019-01-18,2019-02-04,Inactive,-79.5200627,43.6838785
1349,Atrium at Kew Beach,500 Kingston Rd,Retirement Home,Respiratory,Parainfluenza,2019-01-17,2019-01-28,Inactive,-79.3026915478865,43.6778819
1350,The Wexford - 6th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Influenza A,2019-01-16,2019-01-27,Inactive,-79.3024148,43.7438388
1351,Toronto Western Hospital - 8B,399 Bathurst St,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,2019-01-16,2019-01-25,Inactive,-79.4059789,43.6537982
1352,Chester Village,3555 Danforth Ave,LTCH,Respiratory,Influenza A,2019-01-15,2019-01-29,Inactive,-79.27409672758621,43.69413068275862
1354,Chartwell Gibson Long Term Care Residence,1925 Steeles Ave E,LTCH,Respiratory,Respiratory syncytial virus,2019-01-14,2019-02-01,Inactive,-79.3758609,43.807618
1355,Shepherd Lodge - 3rd & 4th Fl,3760 Sheppard Ave,LTCH,Respiratory,Respiratory syncytial virus,2019-01-14,2019-01-28,Inactive,-79.294078,43.782836
1356,The Teddington,4 Teddington Park Ave,Retirement Home,Respiratory,Influenza A,2019-01-14,2019-01-29,Inactive,-79.4040004,43.733129
1357,West Park Long Term Care Centre - 1st Fl Kingsway & Ilaali,82 Buttonwood Ave,LTCH,Respiratory,Respiratory syncytial virus,2019-01-14,2019-01-24,Inactive,-79.5098225,43.687805
1358,Kensington Gardens - South Building - 4 West,25 Brunswick Ave,LTCH,Respiratory,Influenza A,2019-01-13,2019-01-26,Inactive,-79.40368867487679,43.6581346
1359,Cedarvale Terrace,429 Walmer Rd,LTCH,Respiratory,Influenza A,2019-01-12,2019-02-01,Inactive,-79.412483,43.685423
1360,Leaside Retirement Residence,14 William Morgan Dr,Retirement Home,Respiratory,Influenza A,2019-01-11,2019-01-23,Inactive,-79.341468,43.709324
1361,Providence Healthcare - Palliative Care,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2019-01-11,2019-01-25,Inactive,-79.2861565,43.7135926
1362,St. Joseph's Health Centre - 7M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A,2019-01-11,2019-01-19,Inactive,-79.450101,43.639359
1363,Bendale Acres - 4th Fl,2920 Lawrence Ave E,LTCH,Respiratory,Influenza A,2019-01-10,2019-01-21,Inactive,-79.2516534,43.7543919
1364,Copernicus Lodge - 2nd & 4th Fl,66 Roncesvalles Ave,LTCH,Respiratory,Influenza A,2019-01-10,2019-01-28,Inactive,-79.447337,43.640435
1366,Ina Grafton Gage Home - 1st & 3rd Fl,40 Bell Estate Rd,LTCH,Respiratory,Influenza A,2019-01-10,2019-01-23,Inactive,-79.2753435,43.7058073
1367,Deerwood Creek Care Community - 3A,70 Humberline Dr,LTCH,Respiratory,Respiratory syncytial virus,2019-01-09,2019-01-21,Inactive,-79.616344,43.731729
1368,Fieldstone Commons Care Community,1000 Ellesmere Rd,LTCH,Respiratory,Influenza A,2019-01-09,2019-01-29,Inactive,-79.277814,43.766995
1369,Sunnybrook Health Sciences Centre - LFSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2019-01-09,2019-01-22,Inactive,-79.3792695,43.7235801
1371,Westside - 4th Fl,1145 Albion Rd,LTCH,Respiratory,Influenza A,2019-01-09,2019-01-18,Inactive,-79.5667899,43.7373503
1372,Hawthorne Place Care Centre - 2nd Fl South,2045 Finch Ave W,LTCH,Respiratory,Respiratory syncytial virus,2019-01-08,2019-01-17,Inactive,-79.5222631,43.7562487
1373,St. Joseph's Health Centre - 2LM,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A,2019-01-08,2019-01-16,Inactive,-79.450101,43.639359
1374,Leaside Retirement Residence,10 William Morgan Dr,Retirement Home,Respiratory,Influenza A,2019-01-07,2019-01-18,Inactive,-79.341769,43.709379
1375,Main Street Terrace,77 Main St,LTCH,Respiratory,Respiratory syncytial virus,2019-01-07,2019-01-31,Inactive,-79.29894248888888,43.681406233333334
1376,Maynard Nursing Home - 2nd Fl,28 Halton St,LTCH,Respiratory,Influenza A,2019-01-07,2019-01-14,Inactive,-79.4191210318182,43.64875234090909
1377,St. Joseph's Health Centre - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A,2019-01-07,2019-01-16,Inactive,-79.450101,43.639359
1378,Tendercare Living Centre - 3rd Fl West,1020 McNicoll Ave,LTCH,Respiratory,Unable to identify,2019-01-07,2019-01-16,Inactive,-79.3361316,43.8042581
1379,Scarborough Health Network - Birchmount Site - 4A,3030 Birchmount Rd,Hospital-Acute Care,Respiratory,Influenza A,2019-01-06,2019-01-16,Inactive,-79.309054,43.801891
1380,Baycrest Apotex Centre - 2GS,3560 Bathurst St,LTCH,Respiratory,Influenza A,2019-01-05,2019-01-09,Inactive,-79.4361036,43.7292745
1381,Carefree Lodge - Main Fl,306 Finch Ave E,LTCH,Respiratory,Influenza A,2019-01-04,2019-01-14,Inactive,-79.392388,43.7850419
1382,Extendicare Bayview,550 Cummer Ave,LTCH,Respiratory,Respiratory syncytial virus,2019-01-04,2019-01-22,Inactive,-79.3904512,43.7932278
1383,Kipling Acres - 1st Floor South Building,2233 Kipling Ave,LTCH,Enteric,Norovirus-like,2019-01-04,2019-01-10,Inactive,-79.571631,43.725014
1384,Westbury Long Term Care Residence - 5th & 6th Fl,495 The West Mall,LTCH,Enteric,Norovirus-like,2019-01-04,2019-01-10,Inactive,-79.567866,43.648303
1385,Centre for Addiction and Mental Health - Queen Site - 4-5,1001 Queen St W,Hospital-Psychiatric,Respiratory,Unable to identify,2019-01-03,2019-01-12,Inactive,-79.4186199,43.6438339
1386,Extendicare Rouge Valley,551 Conlins Rd,LTCH,Respiratory,Influenza A,2019-01-03,2019-01-30,Inactive,-79.1894286,43.8029937
1387,Grenadier Retirement Residence - 2nd & 3rd Fl,2100 Bloor St W,Retirement Home,Enteric,Unable to identify,2019-01-03,2019-01-14,Inactive,-79.4711165,43.6524038
1388,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Influenza A,2019-01-03,2019-01-25,Inactive,-79.2469846,43.7077593
1389,West Park Long Term Care Centre - 3rd Fl Glenwyld/Raymore,82 Buttonwood Ave,LTCH,Respiratory,Influenza A,2019-01-03,2019-01-10,Inactive,-79.5098225,43.687805
1390,"Castleview Wychwood Towers - 2 West, 4th & 6th Fl",351 Christie St,LTCH,Respiratory,Influenza A,2019-01-02,2019-01-18,Inactive,-79.42113793274277,43.673349
1391,Lakeshore Lodge - 4th Fl,3197 Lakeshore Blvd,LTCH,Respiratory,Influenza A,2019-01-02,2019-01-08,Inactive,-79.51846783100001,43.597066749999996
1392,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Respiratory syncytial virus,2019-01-02,2019-01-16,Inactive,-79.2468577,43.7550969
1393,The Wexford,1860 Lawrence Ave E,LTCH,Respiratory,Respiratory syncytial virus,2019-01-02,2019-01-16,Inactive,-79.3024148,43.7438388
1394,Wesburn Manor,400 The West Mall,LTCH,Enteric,Norovirus-like,2019-01-02,2019-01-31,Inactive,-79.567569,43.643719
1395,University Health Network - Bickle Centre - N5B-TCU,130 Dunn Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2020-12-31,2021-01-15,Inactive,-79.433068,43.634967
1396,Unity Health Toronto-St. Joseph's Health Centre - 4E,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2020-12-31,2021-01-16,Inactive,-79.450101,43.639359
1397,Fairview Nursing Home - Schlegel Villages - 1st Fl,14 Cross Street,LTCH,Respiratory,Coronavirus,2020-12-31,2021-02-01,Inactive,-79.428457,43.648205
1398,Kennedy Lodge Nursing Home - Main North & South,1400 Kennedy Road,LTCH,Respiratory,Coronavirus,2020-12-31,2021-02-23,Inactive,-79.28034723089634,43.763144877160734
1399,Unity Health Toronto - St. Michael's Hospital - OR,30 Bond Street,Hospital-Acute Care,Respiratory,Coronavirus,2020-12-30,2021-01-11,Inactive,-79.3784327,43.6542289
1400,Sts. Peter and Paul Residence - 6th Fl,221 Milner Ave,Retirement Home,Respiratory,Coronavirus,2020-12-30,2021-01-14,Inactive,-79.240031,43.7887289
1401,Copernicus Lodge - Dining Area,66 Roncesvalles Ave,LTCH,Respiratory,Coronavirus,2020-12-30,2021-01-19,Inactive,-79.447337,43.640435
1402,Extendicare Guildwood - West Wing,60 Guildwood Parkway,LTCH,Respiratory,Coronavirus,2020-12-30,2021-01-19,Inactive,-79.203089,43.7462823
1403,Chartwell Lansing Retirement Residence,10 Senlac Road,Retirement Home,Respiratory,Coronavirus,2020-12-30,2021-01-22,Inactive,-79.4227967,43.7590704
1404,Harold & Grace Baker Centre,1 Northwestern Ave,LTCH,Respiratory,Coronavirus,2020-12-30,2021-02-13,Inactive,-79.4688897,43.6987718
1405,University Health Network - Toronto General Hospital - 4MB,200 Elizabeth Street,Hospital-Acute Care,Respiratory,Coronavirus,2020-12-29,2021-01-12,Inactive,-79.3869528,43.6583672
1406,Elm Grove Living Centre - 1st & 2nd Fl,35 Elm Grove Avenue,LTCH,Respiratory,Coronavirus,2020-12-29,2021-02-10,Inactive,-79.43074080619229,43.6403384
1408,Bendale Acres,2920 Lawrence Avenue East,LTCH,Respiratory,Coronavirus,2020-12-29,2021-02-24,Inactive,-79.2516534,43.7543919
1409,Southlake Regional Health Centre - RCC Church Site-3B,200 Church Street,Hospital-Chronic Care,Respiratory,Coronavirus,2020-12-27,2021-01-30,Inactive,-79.510442,43.709345
1410,Hellenic Care for Seniors - 1st Fl,215 Tyrrel Avenue,LTCH,Respiratory,Coronavirus,2020-12-27,2021-02-14,Inactive,-79.4297725,43.6768778
1411,Chartwell Gibson Long Term Care Residence,1925 Steeles Avenue East,LTCH,Respiratory,Coronavirus,2020-12-27,2021-02-21,Inactive,-79.3758609,43.807618
1412,Ehatare Retirement Home,40 Old Kingston Road,Retirement Home,Respiratory,Coronavirus,2020-12-26,2021-01-22,Inactive,-79.1825648,43.7754026
1413,"Cedarbrook Lodge Retirement Residence - 2nd, 4th & 6th Fl",520 Markham Road,Retirement Home,Respiratory,Coronavirus,2020-12-26,2021-02-06,Inactive,-79.2241579,43.7554562
1414,Kensington Gardens North Building - 3 East,25 Brunswick Avenue,LTCH,Respiratory,Coronavirus,2020-12-25,2021-01-13,Inactive,-79.40368867487679,43.6581346
1415,Extendicare Bayview,550 Cummer Avenue,LTCH,Respiratory,Coronavirus,2020-12-25,2021-02-02,Inactive,-79.3904512,43.7932278
1416,Fountain View Care Community,1800 O'Connor Drive,LTCH,Respiratory,Coronavirus,2020-12-25,2021-02-11,Inactive,-79.30522822012195,43.7204409
1417,Lakeside Long Term Care Centre - 1st Fl,150 Dunn Avenue,LTCH,Respiratory,Coronavirus,2020-12-24,2021-01-15,Inactive,-79.4326664,43.6356584
1418,Vermont Square - 3rd Fl,914 Bathurst Street,LTCH,Respiratory,Coronavirus,2020-12-24,2021-01-18,Inactive,-79.4126122,43.6682389
1419,Scarborough Health Network - General Hospital - T9,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2020-12-24,2021-01-19,Inactive,-79.246316,43.7566259
1420,Scarborough Health Network - Birchmount Hospital - G4C,3030 Birchmount Rd.,Hospital-Acute Care,Respiratory,Coronavirus,2020-12-24,2021-02-08,Inactive,-79.309054,43.801891
1421,Sunnybrook Health Sciences Centre - Bayview Campus - C4,2075 Bayview Avenue,Hospital-Acute Care,Respiratory,Coronavirus,2020-12-23,2021-01-20,Inactive,-79.3792695,43.7235801
1422,West Park Healthcare Centre - 3EA,82 Buttonwood Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2020-12-23,2021-01-22,Inactive,-79.5098225,43.687805
1423,Maynard Nursing Home,28 Halton Street,LTCH,Respiratory,Coronavirus,2020-12-23,2021-03-12,Inactive,-79.4191210318182,43.64875234090909
1424,William Osler Health System - 8th Fl,101 Humber College Boulevard,Hospital-Acute Care,Respiratory,Coronavirus,2020-12-22,2021-01-05,Inactive,-79.5991896,43.7306053
1425,West Park Long Term Care - Weston-Mulholland,82 Buttonwood Ave,LTCH,Respiratory,Coronavirus,2020-12-22,2021-01-20,Inactive,-79.5098225,43.687805
1426,"Village of Humber Heights - 6 units - 1st, 2nd & 3rd Fl",2245 Lawrence Ave W,LTCH,Respiratory,Coronavirus,2020-12-22,2021-02-22,Inactive,-79.527245,43.6972121
1427,Extendicare Guildwood - West,60 Guildwood Pky,LTCH,Respiratory,Unable to identify,2020-12-22,2021-01-04,Inactive,-79.203089,43.7462823
1428,Scarborough Health Network-Birchmount - G4A,3030 Birchmount Rd.,Hospital-Acute Care,Respiratory,Coronavirus,2020-12-21,2021-01-05,Inactive,-79.309054,43.801891
1429,Baycrest Hospital - 5E,3560 Bathurst Street,Hospital-Chronic Care,Respiratory,Coronavirus,2020-12-21,2021-01-07,Inactive,-79.4361036,43.7292745
1431,Queens Estate Retirement Residence,265 Queens Dr,Retirement Home,Respiratory,Coronavirus,2020-12-21,2021-01-21,Inactive,-79.504314,43.707185
1432,University Health Network - Bickle Centre - 4South,130 Dunn Avenue,Hospital-Chronic Care,Respiratory,Coronavirus,2020-12-21,2021-01-26,Inactive,-79.433068,43.634967
1433,Sunnybrook Health Sciences Centre - Veterans Centre - LDMH,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2020-12-20,2021-01-16,Inactive,-79.3792695,43.7235801
1434,Terraces of Baycrest- Retirement Home,55 Ameer Avenue,Retirement Home,Respiratory,Coronavirus,2020-12-20,2021-02-16,Inactive,-79.4410166,43.7294379
1436,Baycrest Apotex Centre - Jewish Home for the Aged,3560 Bathurst St,LTCH,Respiratory,Coronavirus,2020-12-18,2021-03-23,Inactive,-79.4361036,43.7292745
1439,Trillium Health Partners - RCC Church Site - 1C,200 Church Street,Hospital-Chronic Care,Respiratory,Coronavirus,2020-12-17,2021-01-07,Inactive,-79.510442,43.709345
1441,Leaside Retirement Living - Building 10 4th Fl,10-14 William Morgan Drive,Retirement Home,Respiratory,Coronavirus,2020-12-17,2021-02-22,Inactive,-79.341558,43.709353
1442,Shepherd Terrace Retirement Home - Kitchen,3758 Sheppard Ave E,LTCH,Respiratory,Coronavirus,2020-12-16,2020-12-17,Inactive,-79.29459460107817,43.782512999999994
1443,Retirement Suites By the Lake,2121 Kingston Road,Retirement Home,Respiratory,Coronavirus,2020-12-16,2021-01-04,Inactive,-79.2561528,43.6979544
1444,Scarborough Health Network-Birchmount - 4D Medicine,3030 Birchmount Rd,Hospital-Acute Care,Respiratory,Coronavirus,2020-12-15,2020-12-28,Inactive,-79.309054,43.801891
1445,Seven Oaks - 3rd & 5th Fl,9 Neilson Rd,LTCH,Respiratory,Coronavirus,2020-12-15,2021-01-04,Inactive,-79.2034339,43.7794412
1446,"True Davidson Acres - 1st, 4th & 5th Fl",200 Dawes Rd,LTCH,Respiratory,Coronavirus,2020-12-15,2021-01-21,Inactive,-79.298175,43.69582
1447,McNicoll Manor - 4th & 5th Fl,1020 McNicoll Avenue,LTCH,Respiratory,Coronavirus,2020-12-15,2021-02-04,Inactive,-79.3361316,43.8042581
1448,Scarborough Health Network - Yee Hong Dialysis,60 Scottfield Drive,LTCH,Respiratory,Coronavirus,2020-12-14,2021-01-05,Inactive,-79.25453972658863,43.8086905
1449,West Park Healthcare Centre - 2EC,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Coronavirus,2020-12-13,2020-12-26,Inactive,-79.5098225,43.687805
1450,"Ivan Franko Retirement Home - 2nd Fl, 2S, 2W",767 Royal York Rd,LTCH,Respiratory,Coronavirus,2020-12-13,2021-01-29,Inactive,-79.50674173953753,43.637744850000004
1452,Hellenic Home for the Aged,2411 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2020-12-13,2021-02-19,Inactive,-79.2746356,43.7493249
1453,Unity Health Toronto - St. Joseph's Health Centre - 6M,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2020-12-10,2021-01-01,Inactive,-79.450101,43.639359
1454,Amica Bayview Gardens - 10th Fl,19 Rean Dr,Retirement Home,Respiratory,Coronavirus,2020-12-09,2020-12-25,Inactive,-79.38257754978882,43.76690666292305
