,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Date Outbreak Began,Date Declared Over,Outbreak Status
1559,Dom Lipa Nursing Home,52 Neilson Dr,LTCH,Respiratory,Coronavirus,2020-10-22,2020-11-20,Inactive
1560,Greenview Lodge - 2nd Fl,880 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2020-10-22,2020-12-17,Inactive
1561,Baycrest Apotex Centre - A5RF,3560 Bathurst St,LTCH,Respiratory,Coronavirus,2020-10-21,2020-11-04,Inactive
1562,UHN - Toronto Rehabilitation Institute - University Centre -,550 University Ave - 7 South,Hospital-Chronic Care,Respiratory,Coronavirus,2020-10-21,2020-11-06,Inactive
1563,Wesburn Manor - 2nd Fl,400 The West Mall,LTCH,Respiratory,Coronavirus,2020-10-21,2020-11-14,Inactive
1564,Unity Health Toronto - St. Michael's Hospital - Emergency Ro,30 Bond St,Hospital-Acute Care,Respiratory,Coronavirus,2020-10-20,2020-11-02,Inactive
1565,Scarborough Health Network - General Hospital - CP4,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2020-10-20,2020-11-06,Inactive
1566,Christie Gardens Apartments & Care,600 Melita Cres,Retirement Home,Respiratory,Coronavirus,2020-10-20,2020-11-15,Inactive
1567,Extendicare Rouge Valley,551 Conlins Rd,LTCH,Respiratory,Coronavirus,2020-10-20,2020-12-24,Inactive
1568,Hawthorne Place Care Centre - 3rd Fl,2045 Finch Ave W,LTCH,Respiratory,Coronavirus,2020-10-19,2020-11-09,Inactive
1569,"Chartwell Grenadier Retirement Residence - Main Building B,","2100 Bloor St W - C, D",Retirement Home,Respiratory,Coronavirus,2020-10-19,2020-11-23,Inactive
1570,Centre for Addiction & Mental Health - Queen Site - 1-4 /1-5,1001 Queen St W,Hospital-Psychiatric,Respiratory,Coronavirus,2020-10-18,2020-11-18,Inactive
1571,North York General Hospital - Seniors' Health Centre,2 Buchan Crt,LTCH,Respiratory,Coronavirus,2020-10-18,2020-11-20,Inactive
1572,Unity Health Toronto - St. Joseph's Health Centre - 3M,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2020-10-16,2020-10-28,Inactive
1573,UHN- Toronto Western Hospital - 8 A & B,399 Bathurst St,Hospital-Acute Care,Respiratory,Coronavirus,2020-10-15,2020-10-31,Inactive
1574,Unity Health Toronto - St. Joseph's Health Centre - 4e - 4e,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2020-10-15,2020-11-01,Inactive
1575,Fieldstone Commons Care Community - 1A,1000 Ellesmere Rd,LTCH,Respiratory,Coronavirus,2020-10-15,2021-01-19,Inactive
1576,Unity Health Toronto - St. Joseph's Health Centre - 2LM,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2020-10-14,2020-10-23,Inactive
1577,Chartwell Trilogy Long Term Care - 3rd Fl,340 McCowan Rd,LTCH,Respiratory,Coronavirus,2020-10-14,2020-11-19,Inactive
1578,Reactivation Care Centre - Markham Stouville Hospital - 5w -,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,Coronavirus,2020-10-13,2020-10-21,Inactive
1579,Atrium at Kew Beach,500 Kingston Rd,Retirement Home,Respiratory,Coronavirus,2020-10-13,2020-10-30,Inactive
1580,Cedarhurst Home - 1st Fl,2601 Bayview Ave,Retirement Home,Respiratory,Coronavirus,2020-10-13,2020-10-30,Inactive
1581,Baycrest Apotex Centre - Ltch - Apotex 4rf,3560 Bathurst St,LTCH,Respiratory,Coronavirus,2020-10-13,2020-10-31,Inactive
1582,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2020-10-13,2020-11-03,Inactive
1583,Chartwell Gibson Long Term Care Residence - 1st Fl,1925 Steeles Ave E,LTCH,Respiratory,Coronavirus,2020-10-13,2020-11-11,Inactive
1584,Main Street Terrace - 2nd & 3rd Fl,77 Main St,LTCH,Respiratory,Coronavirus,2020-10-13,2020-12-04,Inactive
1585,Westside Ltc,1145 Albion Rd,LTCH,Respiratory,Coronavirus,2020-10-12,2020-11-01,Inactive
1586,Fudger House - 2W,439 Sherbourne St,LTCH,Respiratory,Coronavirus,2020-10-12,2020-12-26,Inactive
1587,Cedarvale Terrace Long Term Care - 6th Fl,429 Walmer Rd,LTCH,Respiratory,Coronavirus,2020-10-10,2020-10-24,Inactive
1588,Lakeside Long Term Care - 2nd Fl,150 Dunn Ave,LTCH,Respiratory,Coronavirus,2020-10-10,2020-11-27,Inactive
1589,Deerwood Creek Care Community,70 Humberline Dr,LTCH,Respiratory,Coronavirus,2020-10-09,2020-10-24,Inactive
1590,North York General Hospital - 8 West,4001 Leslie St,Hospital-Acute Care,Respiratory,Coronavirus,2020-10-06,2020-10-19,Inactive
1591,Midland Gardens Care Community Ltch - 4th Fl,130 Midland Ave,LTCH,Respiratory,Unable to identify,2020-10-06,2020-10-14,Inactive
1592,Cedarbrook Lodge - 2nd Fl,520 Markham Rd,Retirement Home,Respiratory,Coronavirus,2020-10-04,2020-10-30,Inactive
1593,Norfinch Care Community,22 Norfinch Ave,LTCH,Respiratory,Coronavirus,2020-10-02,2020-10-16,Inactive
1594,Unity Health Toronto - St. Joseph's Health Centre - 2E,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2020-10-02,2020-10-23,Inactive
1595,Kennedy Lodge - 2 North,1400 Kennedy Rd,LTCH,Respiratory,Coronavirus,2020-10-02,2020-12-16,Inactive
1596,City Of Toronto ? Cummer Lodge - 3 North,205 Cummer Ave,LTCH,Respiratory,Coronavirus,2020-10-01,2020-10-16,Inactive
1597,The Dunfield Retirement Residence - 3rd Fl,77 Dunfield Ave,Retirement Home,Respiratory,Coronavirus,2020-09-28,2020-10-10,Inactive
1598,"Villa Colombo - 1 & 2 Fidani, 2 Fusco, 4 Fidani",40 Playfair Ave,LTCH,Respiratory,Coronavirus,2020-09-28,2020-10-21,Inactive
1599,Vermont Square,914 Bathurst St,LTCH,Respiratory,Coronavirus,2020-09-27,2020-11-21,Inactive
1600,Valley View Residence,541 Finch Ave W,LTCH,Respiratory,Unable to identify,2020-09-27,2020-10-15,Inactive
1601,Scarlett Heights Retirement Home,4005 Eglinton Ave W,Retirement Home,Respiratory,Coronavirus,2020-09-26,2020-10-20,Inactive
1602,Cheltenham Care Community,5395 Bathurst St,LTCH,Respiratory,Rhinovirus,2020-09-25,2020-11-12,Inactive
1603,One Kenton Place - Ground Fl,1 Kenton Dr,Retirement Home,Respiratory,Coronavirus,2020-09-25,2020-10-02,Inactive
1604,Rockcliffe Care Community - 2nd Fl,3015 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2020-09-24,2020-10-16,Inactive
1605,St. George Care Community,225 St George St,LTCH,Respiratory,Coronavirus,2020-09-21,2020-10-20,Inactive
1606,Uhn - Toronto Western Hospital - Msn Icu,399 Bathurst St,Hospital-Acute Care,Enteric,Clostridium difficile,2020-09-19,2020-10-05,Inactive
1607,Humber Valley Terrace - 3rd Fl,95 Humber College Blvd,LTCH,Respiratory,Coronavirus,2020-09-17,2020-10-07,Inactive
1608,Norwood Nursing Home,122 Tyndall Ave,LTCH,Respiratory,Coronavirus,2020-09-17,2020-12-04,Inactive
1609,Fairview Nursing Home,14 Cross St,LTCH,Respiratory,Coronavirus,2020-09-15,2020-10-30,Inactive
1610,Deerwood Creek Care Community - 2nf Fl LaRose Unit,70 Humberline Dr,LTCH,Enteric,Unable to identify,2020-09-13,2020-09-18,Inactive
1611,Pine Villa Transitional Care - 2nd Fl,1035 Eglinton Ave W,LTCH,Respiratory,Coronavirus,2020-09-06,2020-09-21,Inactive
1612,Donway Place Retirement Home,8 The Don Way E,Retirement Home,Respiratory,Coronavirus,2020-09-03,2020-09-23,Inactive
1613,Fieldstone Commons Care Community - 3rd Fl,1000 Ellesmere Rd,LTCH,Respiratory,Coronavirus,2020-08-27,2020-10-07,Inactive
1614,Maynard Nursing Home,28 Halton St,LTCH,Respiratory,Coronavirus,2020-08-25,2020-09-11,Inactive
1615,Sunnybrook Health Sciences Centre - C5,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Coronavirus,2020-08-23,2020-09-06,Inactive
1616,St. John's Rehabilitation Hospital - A2,285 Cummer Ave E,Hospital-Chronic Care,Respiratory,Unable to identify,2020-08-15,2020-08-18,Inactive
1617,The O'Neill Centre - 2nd & 4th Fl,33 Christie St,LTCH,Enteric,Unable to identify,2020-08-05,2020-08-12,Inactive
1618,Castleview Wychwood Towers - 5th Fl,351 Christie St,LTCH,Respiratory,Coronavirus,2020-08-02,2020-08-17,Inactive
1619,Kipling Acres - Kitchen,2233 Kipling Ave,LTCH,Respiratory,Coronavirus,2020-07-25,2020-08-15,Inactive
1620,Tony Stacey Centre for Veterans Care,59 Lawson Rd,LTCH,Enteric,Unable to identify,2020-07-25,2020-08-21,Inactive
1621,Yee Hong Centre - Scarborough Finch,60 Scottfield Dr,LTCH,Respiratory,Unable to identify,2020-07-15,2020-07-29,Inactive
1622,Craiglee Nursing Home,102 Craiglee Dr,LTCH,Enteric,Unable to identify,2020-07-12,2020-07-28,Inactive
1623,Runnymede Healthcare Centre - 3rd Fl,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,Coronavirus,2020-07-01,2020-07-13,Inactive
1624,Presentation Manor,61 Fairfax Cres,Retirement Home,Respiratory,Coronavirus,2020-06-30,2020-07-03,Inactive
1625,"West Park Healthcare Centre - Ccc - 2w-D, 2w-E, 2w-F (Cavc U",82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Coronavirus,2020-06-30,2020-07-17,Inactive
1626,St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2020-06-30,2020-08-14,Inactive
1627,Elm Grove Living Centre,35 Elm Grove Ave,LTCH,Enteric,Unable to identify,2020-06-30,2020-07-07,Inactive
1628,Kensington Gardens - South Bldg - 4 East & West,25 Brunswick Ave,LTCH,Respiratory,Coronavirus,2020-06-27,2020-07-11,Inactive
1629,Baycrest Apotex Centre - Jewish Home for the Aged - 7GS,3560 Bathurst St,LTCH,Respiratory,Coronavirus,2020-06-26,2020-07-10,Inactive
1630,"Tendercare Living Centre - 2nd, 3rd, 4th, 5th  Fl",1020 McNicoll Ave,LTCH,Respiratory,Coronavirus,2020-06-25,2020-07-09,Inactive
1631,Humber Valley Terrace,95 Humber College Blvd,LTCH,Enteric,Unable to identify,2020-06-25,2020-07-07,Inactive
1632,Harmony Hills Care Community - 2A,1800 O'Connor Dr,LTCH,Respiratory,Coronavirus,2020-06-24,2020-07-11,Inactive
1633,Unity Health Toronto - St. Joseph's Health Centre - 6m,30 The Queensway,Hospital-Acute Care,Respiratory,Coronavirus,2020-06-23,2020-07-20,Inactive
1634,Wesburn Manor - 400 The West Mall - 2020-06-18,400 The West Mall,LTCH,Respiratory,Coronavirus,2020-06-18,2020-06-30,Inactive
1635,William Osler Health System - 6 Med Flex,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Coronavirus,2020-06-17,2020-07-13,Inactive
1636,The Rekai Centres At Sherbourne Place - 4th Fl,345 Sherbourne St,LTCH,Respiratory,Coronavirus,2020-06-16,2020-06-28,Inactive
1637,Fairview Nursing Home,14 Cross St,LTCH,Respiratory,Coronavirus,2020-06-16,2020-06-30,Inactive
1638,Deerwood Creek Care Community - 2nd Fl,70 Humberline Dr,LTCH,Respiratory,Coronavirus,2020-06-15,2020-06-27,Inactive
1639,Fudger House - 2 East,439 Sherbourne St,LTCH,Respiratory,Coronavirus,2020-06-13,2020-06-27,Inactive
1640,Chartwell Trilogy Ltc - 1st Fl,340 McCowan Rd,LTCH,Respiratory,Coronavirus,2020-06-12,2020-06-26,Inactive
1641,Chester Village - 3rd Fl East Wing,3555 Danforth Ave,LTCH,Respiratory,Coronavirus,2020-06-10,2020-07-03,Inactive
1642,True Davidson Acres - 2nd Fl E,200 Dawes Rd,LTCH,Respiratory,Coronavirus,2020-06-10,2020-07-13,Inactive
1643,Nisbet Lodge,740 Pape Ave,LTCH,Respiratory,Coronavirus,2020-06-10,2020-08-07,Inactive
1644,Pine Villa Transitional Care - 2nd Fl,1035 Eglinton Ave W,LTCH,Respiratory,Coronavirus,2020-06-05,2020-06-20,Inactive
1645,Seven Oaks - Entire Faciility,9 Neilson Rd,LTCH,Respiratory,Coronavirus,2020-06-05,2020-06-23,Inactive
1646,Chartwell Scartlett Heights,4005 Eglinton Ave W,Retirement Home,Respiratory,Coronavirus,2020-06-03,2020-06-22,Inactive
1647,Leaside Retirement Residence - Bldg 10 - 2nd & 3rd Fl,10/14 Willian Morgan Dr,Retirement Home,Respiratory,Coronavirus,2020-06-02,2020-07-03,Inactive
1648,Baycrest Apotex Centre - Jewish Home for the Aged - POD 6EI,3560 Bathurst St,LTCH,Respiratory,Coronavirus,2020-06-01,2020-06-12,Inactive
1649,Baycrest Apotex Centre - Jewish Home for the Aged - Apotex 3,3560 Bathurst St,LTCH,Respiratory,Coronavirus,2020-06-01,2020-06-13,Inactive
1650,Tony Stacey Centre for Veteran's Care,59 Lawson Rd,LTCH,Respiratory,Unable to identify,2020-06-01,2020-06-22,Inactive
1651,Dowling Retirement Home,124 Dowling Ave,Retirement Home,Respiratory,Coronavirus,2020-05-28,2020-06-06,Inactive
1652,Deerwood Creek Care Community - 3rd Fl A Side,70 Humberline Dr,LTCH,Respiratory,Coronavirus,2020-05-28,2020-06-07,Inactive
1653,Cedarvale Terrace,429 Walmer Rd,LTCH,Respiratory,Coronavirus,2020-05-28,2020-06-10,Inactive
1654,West Park Long Term Care Centre - 2nd & 3rd Fl,82 Buttonwood Ave,LTCH,Respiratory,Coronavirus,2020-05-28,2020-07-04,Inactive
1655,Garden Court Nursing Home,1 Sand Beach Rd,LTCH,Respiratory,Coronavirus,2020-05-27,2020-07-17,Inactive
1656,Retirement Suites By The Lake,2121 Kingston Rd,Retirement Home,Respiratory,Coronavirus,2020-05-26,2020-06-10,Inactive
1657,Kensington Gardens - 3rd Fl,25 Brunswick Ave,LTCH,Respiratory,Coronavirus,2020-05-26,2020-06-15,Inactive
1658,Presentation Manor - 1st & 2nd Fl,61 Fairfax Cres,LTCH,Respiratory,Coronavirus,2020-05-22,2020-06-12,Inactive
1659,St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Coronavirus,2020-05-22,2020-06-12,Inactive
1660,Amica at Bayview Gardens - 3rd to 8th Fl,19 Rean Dr,Retirement Home,Respiratory,Coronavirus,2020-05-21,2020-06-04,Inactive
1661,William Osler Health System - Etobicoke General Hospital -,101 Humber College Blvd - 7 East,Hospital-Acute Care,Respiratory,Coronavirus,2020-05-19,2020-06-06,Inactive
1662,Dom Lipa Nursing Home - K Wing & Retirement Home,52 Neilson Dr,LTCH,Respiratory,Coronavirus,2020-05-18,2020-06-07,Inactive
1663,Castleview Wychwood Towers - 7th Fl,351 Christie St,LTCH,Respiratory,Coronavirus,2020-05-17,2020-07-01,Inactive
1664,Yee Hong Centre (Scarborough Finch) - 6th Fl,60 Scottfield Dr,LTCH,Respiratory,Coronavirus,2020-05-15,2020-05-18,Inactive
1665,Cheltenham Care Community - 1st Fl,5935 Bathurst St,LTCH,Respiratory,Coronavirus,2020-05-15,2020-05-27,Inactive
1666,Westside - 4th Fl,1145 Albion Rd,LTCH,Respiratory,Coronavirus,2020-05-14,2020-06-14,Inactive
1667,Kennedy Lodge Nursing Home - Convalescent Unit,1400 Kennedy Rd,LTCH,Respiratory,Coronavirus,2020-05-13,2020-05-18,Inactive
1668,Toronto Western Hospital - Emergency Dept,399 Bathurst St,Hospital-Acute Care,Respiratory,Coronavirus,2020-05-13,2020-05-22,Inactive
1669,Baycrest Hospital - 7 West,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Coronavirus,2020-05-13,2020-05-25,Inactive
1670,Hellenic Care for Seniors,215 Tyrrel Ave,LTCH,Respiratory,Coronavirus,2020-05-13,2020-06-18,Inactive
1671,Fieldstone Commons Care Community,1000 Ellesmere Rd,LTCH,Respiratory,Coronavirus,2020-05-13,2020-06-22,Inactive
1672,Weston Gardens Retirement Residence,303 Queens Dr,Retirement Home,Respiratory,Coronavirus,2020-05-13,2020-07-03,Inactive
1673,Mon Sheong Scarborough,2030 McNicoll Ave,LTCH,Respiratory,Coronavirus,2020-05-12,2020-05-23,Inactive
1674,"Chartwell Trilogy Long Term Care Residence - 2nd, 3rd, 5th -",340 McCowen Rd - & 7th Fl,LTCH,Respiratory,Coronavirus,2020-05-12,2020-05-25,Inactive
1675,"The Briton House Retirement Home - Rm 300, 5th, 10th, 11th &",720 Mount Pleasant Rd - 12th Fl,Retirement Home,Respiratory,Coronavirus,2020-05-12,2020-05-26,Inactive
1676,Better Living at Thompson House,1 Overland Dr,LTCH,Respiratory,Coronavirus,2020-05-12,2020-05-31,Inactive
1677,The Dunfield Retirement Residence,77 Dunfield Ave,Retirement Home,Respiratory,Coronavirus,2020-05-09,2020-05-20,Inactive
1678,Reactivation Care Centre - Southlake Regional Health Centre,200 Church St,Hospital-Chronic Care,Respiratory,Coronavirus,2020-05-09,2020-05-28,Inactive
1679,The Annex Retirement Residence,129 Spadina Rd,Retirement Home,Respiratory,Coronavirus,2020-05-08,2020-05-23,Inactive
1680,Toronto Western Hospital - 9A,399 Bathurst St,Hospital-Acute Care,Respiratory,Coronavirus,2020-05-08,2020-06-01,Inactive
1681,Chartwell Grenadier Retirement Residence - Assisted Living,2100 Bloor St W - Section - 4 Fls,Retirement Home,Respiratory,Coronavirus,2020-05-07,2020-05-31,Inactive
1682,Ivan Franko Home,767 Royal York Rd,LTCH,Respiratory,Coronavirus,2020-05-06,2020-05-19,Inactive
1683,"Leaside Retirement Residence - 2nd, 3rd, 4th & 7th Fl",10 William Morgan Dr - Bldg 10,Retirement Home,Respiratory,Coronavirus,2020-05-06,2020-05-26,Inactive
1684,The Heritage Nursing Home - 1st Fl,1195 Queen St E,LTCH,Respiratory,Coronavirus,2020-05-05,2020-05-13,Inactive
1685,Chartwell Avondale Retirement Residence,1238 Queen St E,Retirement Home,Respiratory,Coronavirus,2020-05-05,2020-05-19,Inactive
1686,North York General Hospital - 8 West,4001 Leslie St,Hospital-Acute Care,Respiratory,Coronavirus,2020-05-05,2020-05-19,Inactive
1687,Reactivation Care Centre - Southlake Regional Health Centre,2111 Finch Ave - 5 East,Hospital-Chronic Care,Respiratory,Coronavirus,2020-05-04,2020-05-24,Inactive
1688,Tendercare Living Centre - 2nd Fl,1020 McNicoll Ave,LTCH,Respiratory,Coronavirus,2020-05-04,2020-05-25,Inactive
1689,North Park Nursing Home - 2nd Fl,450 Rustic Rd,LTCH,Respiratory,Coronavirus,2020-05-03,2020-05-18,Inactive
1690,Scarborough Health Network - General Hospital - H3CP,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2020-05-03,2020-05-21,Inactive
1691,Tony Stacey Centre for Veteran's Care,59 Lawson Rd,LTCH,Respiratory,Coronavirus,2020-05-01,2020-05-15,Inactive
1692,Fudger House,439 Sherbourne St,LTCH,Respiratory,Coronavirus,2020-05-01,2020-05-21,Inactive
1693,Vermont Square - 7th Fl,914 Bathurst St,LTCH,Respiratory,Coronavirus,2020-05-01,2020-06-04,Inactive
1694,The Russell Hill Retirement Residence - 6th Fl,262 St. Clair Ave W,Retirement Home,Respiratory,Coronavirus,2020-04-30,2020-05-08,Inactive
1695,Carefree Lodge - Garden Level,306 Finch Ave E,LTCH,Respiratory,Coronavirus,2020-04-30,2020-05-15,Inactive
1696,Toronto Western Hospital - Uhn - 8a / 8b,399 Bathurst St,Hospital-Acute Care,Respiratory,Coronavirus,2020-04-30,2020-05-16,Inactive
1697,Toronto Western Hospital - 3B,399 Bathurst St,Hospital-Acute Care,Respiratory,Coronavirus,2020-04-30,2020-05-20,Inactive
1698,Kingsway Retirement Residence,4251 Dundas St W,Retirement Home,Respiratory,Coronavirus,2020-04-30,2020-06-06,Inactive
1699,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2020-04-30,2020-06-06,Inactive
1700,Scarlett Heights Retirement Home,4005 Eglinton Ave W,Retirement Home,Respiratory,Coronavirus,2020-04-29,2020-05-15,Inactive
1701,Cummer Lodge,205 Cummer Ave,LTCH,Respiratory,Coronavirus,2020-04-29,2020-05-19,Inactive
1702,Toronto General Hospital - Uhn - 6es,200 Elizabeth St,Hospital-Acute Care,Enteric,Clostridium difficile,2020-04-28,2020-05-11,Inactive
1703,Reactivation Care Centre - William Osler - 5th Fl,200 Church St,Hospital-Chronic Care,Respiratory,Coronavirus,2020-04-28,2020-06-02,Inactive
1704,The Hospital for Sick Children - 8B,555 University Ave,Hospital-Acute Care,Respiratory,Coronavirus,2020-04-27,2020-05-11,Inactive
1705,North York General Hospital - 5 West,4001 Leslie St,Hospital-Acute Care,Respiratory,Coronavirus,2020-04-27,2020-05-27,Inactive
1706,Fountain View Care Community - 1st Fl - Terrace Unit,1800 O'Connor Dr,LTCH,Respiratory,Coronavirus,2020-04-26,2020-05-12,Inactive
1707,Reactivation Care Centre - Mackenzie Health - 3 East,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,Coronavirus,2020-04-26,2020-05-17,Inactive
1708,The Wexford Residence - 2nd Fl,1860 Lawrence Ave E,LTCH,Respiratory,Coronavirus,2020-04-25,2020-05-08,Inactive
1709,Amica at Bayview Village,15 Barberry Pl,Retirement Home,Respiratory,Coronavirus,2020-04-24,2020-05-14,Inactive
1710,"St George Care Community - Entire Facility As Of May 2, 2020",225 St George St,LTCH,Respiratory,Coronavirus,2020-04-24,2020-06-23,Inactive
1711,Extendicare Guildwood,60 Guildwood Pky,LTCH,Respiratory,Coronavirus,2020-04-24,2020-07-05,Inactive
1712,Extendicare Rouge Valley - Cedar Ridge,551 Conlins Rd,LTCH,Respiratory,Coronavirus,2020-04-23,2020-05-08,Inactive
1713,Belmont House,55 Belmont St,LTCH,Respiratory,Coronavirus,2020-04-23,2020-05-11,Inactive
1714,William Osler Health System - Etobicoke General Hospital - 9,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Coronavirus,2020-04-23,2020-05-11,Inactive
1715,"Cedarvale Terrace - Mainfl, 2nd,3rd,5th, 6th",429 Walmer Rd,LTCH,Respiratory,Coronavirus,2020-04-21,2020-05-17,Inactive
1716,Villa Colombo,40 Playfair Ave,LTCH,Respiratory,Coronavirus,2020-04-21,2020-08-07,Inactive
1717,Scarborough Health Network - General Hospital - H2C,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Coronavirus,2020-04-20,2020-05-03,Inactive
1718,Castleview Wychwood Towers - 6th Fl,351 Christie St,LTCH,Respiratory,Coronavirus,2020-04-20,2020-05-12,Inactive
1719,Wesburn Manor - 2nd Fl,400 The West Mall,LTCH,Respiratory,Coronavirus,2020-04-20,2020-05-27,Inactive
