,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Date Outbreak Began,Date Declared Over,Outbreak Status,Longitude,Latitude,Outbreak Year,Outbreak Month,Outbreak Season
423,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,2017-04-03,2017-04-13,Inactive,-79.2468577,43.7550969,2017,April,Spring
424,Sunnybrook Health Sciences Centre - LSSE,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2017-04-03,2017-04-17,Inactive,-79.3792695,43.7235801,2017,April,Spring
425,Belmont House - 5W,55 Belmont St,LTCH,Enteric,Unable to identify,2017-04-03,2017-04-11,Inactive,-79.39170138466517,43.67449825,2017,April,Spring
426,Hazelton Place Retirement Residence,111 Avenue Rd,Retirement Home,Respiratory,Metapneumovirus,2017-03-31,2017-04-11,Inactive,-79.3957197,43.6732425,2017,March,Spring
427,Providence Healthcare - Houses of Providence - 4th Fl,3276 St Clair Ave E,LTCH,Respiratory,Metapneumovirus,2017-03-29,2017-04-16,Inactive,-79.2861565,43.7135926,2017,March,Spring
428,The Hospital for Sick Children - 6A & 6B,555 University Ave,Hospital-Acute Care,Respiratory,Metapneumovirus,2017-03-29,2017-04-10,Inactive,-79.387438,43.657372,2017,March,Spring
429,Westside,1145 Albion Rd,LTCH,Respiratory,Influenza B,2017-03-27,2017-04-17,Inactive,-79.5667899,43.7373503,2017,March,Spring
430,Downsview Long Term Care Centre - 2 Centre,3595 Keele St,LTCH,Respiratory,Influenza B,2017-03-27,2017-04-10,Inactive,-79.48781545714286,43.751348042857146,2017,March,Spring
431,Carefree Lodge - Garden Level,306 Finch Ave E,LTCH,Respiratory,Influenza A,2017-03-27,2017-04-07,Inactive,-79.392388,43.7850419,2017,March,Spring
432,Mon Sheong Home for the Aged - 5th Fl,36 D'Arcy St,LTCH,Respiratory,Coronavirus,2017-03-26,2017-04-30,Inactive,-79.39325999536922,43.6553005,2017,March,Spring
433,Cummer Lodge - 3 North,205 Cummer Ave,LTCH,Respiratory,Unable to identify,2017-03-24,2017-04-08,Inactive,-79.40816758965518,43.78889555517242,2017,March,Spring
434,Tendercare Living Centre,1020 McNicoll Ave,LTCH,Respiratory,Influenza A,2017-03-23,2017-04-04,Inactive,-79.3361316,43.8042581,2017,March,Spring
435,Sunnybrook Health Sciences Centre - K2W,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2017-03-22,2017-04-09,Inactive,-79.3792695,43.7235801,2017,March,Spring
436,Sienna Altamont Care Community,92 Island Rd,LTCH,Respiratory,Influenza A,2017-03-21,2017-03-30,Inactive,-79.13997840570175,43.7988385,2017,March,Spring
437,Eatonville Care Centre,420 The East Mall,LTCH,Respiratory,Influenza A,2017-03-20,2017-04-03,Inactive,-79.560686,43.64745,2017,March,Spring
438,Dom Lipa Nursing Home,52 Neilson Dr,LTCH,Respiratory,Parainfluenza,2017-03-17,2017-04-05,Inactive,-79.56570787160844,43.62911145,2017,March,Spring
439,Mon Sheong Scarborough Long Term Care Centre - 4th Fl,2030 Mcnicoll Ave,LTCH,Respiratory,Coronavirus,2017-03-15,2017-03-30,Inactive,-79.2994857,43.8128599,2017,March,Spring
440,Suomi Koti - 7th Fl,795 Eglinton Ave E,LTCH,Respiratory,Respiratory syncytial virus,2017-03-14,2017-04-03,Inactive,-79.3669906,43.7129848,2017,March,Spring
441,Sunnybrook Health Sciences Centre - LSSW,2075 Bayview Ave,LTCH,Respiratory,Influenza A,2017-03-14,2017-03-24,Inactive,-79.3792695,43.7235801,2017,March,Spring
442,Midland Gardens Care Community - 5th Fl,130 Midland Ave,LTCH,Enteric,Unable to identify,2017-03-14,2017-03-20,Inactive,-79.2469846,43.7077593,2017,March,Spring
443,Michael Garron Hospital - A3,825 Coxwell Ave,Hospital-Acute Care,Respiratory,Influenza A,2017-03-14,2017-03-23,Inactive,-79.3236782,43.6896572,2017,March,Spring
444,Baycrest Centre for Geriatric Care - 3 West,3560 Bathurst St,Hospital-Chronic Care,Enteric,Unable to identify,2017-03-14,2017-03-19,Inactive,-79.4361036,43.7292745,2017,March,Spring
445,St. Bernard's Residence,685 Finch Ave W,Retirement Home,Respiratory,Respiratory syncytial virus,2017-03-14,2017-03-21,Inactive,-79.4561852,43.7709198,2017,March,Spring
446,West Park Long Term Care Centre - 3rd Fl,82 Buttonwood Ave,LTCH,Respiratory,Influenza B,2017-03-14,2017-04-04,Inactive,-79.5098225,43.687805,2017,March,Spring
447,Ivan Franko Home,767 Royal York Rd,LTCH,Enteric,Norovirus-like,2017-03-14,2017-03-31,Inactive,-79.50674173953753,43.63774485,2017,March,Spring
448,West Park Healthcare Centre - 3EC,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2017-03-13,2017-03-30,Inactive,-79.5098225,43.687805,2017,March,Spring
449,William Osler Health System - 7 East,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,2017-03-13,2017-03-19,Inactive,-79.5991896,43.7306053,2017,March,Spring
450,Tendercare Living Centre,1020 McNicoll Ave,LTCH,Respiratory,Influenza A,2017-03-10,2017-03-20,Inactive,-79.3361316,43.8042581,2017,March,Spring
451,Sunnybrook Health Sciences Centre - LTSE & LTSW,2075 Bayview Ave,LTCH,Respiratory,Influenza A,2017-03-10,2017-03-19,Inactive,-79.3792695,43.7235801,2017,March,Spring
452,William Osler Health System - 7 West,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Influenza A,2017-03-10,2017-03-17,Inactive,-79.5991896,43.7306053,2017,March,Spring
453,St. John's Rehabilitation Hospital - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza A,2017-03-08,2017-03-24,Inactive,-79.40424676206896,43.789755968965515,2017,March,Spring
454,Lakeside Long Term Care Centre,150 Dunn Ave,LTCH,Respiratory,Influenza A,2017-03-07,2017-03-20,Inactive,-79.4326664,43.6356584,2017,March,Spring
455,Forest Hill Place,645 Castlefield Ave,Retirement Home,Respiratory,Metapneumovirus,2017-03-06,2017-03-13,Inactive,-79.4247813,43.7065006,2017,March,Spring
456,St. Hilda's Towers - OCP & TCP,2339 Dufferin St,Retirement Home,Enteric,Unable to identify,2017-03-06,2017-03-17,Inactive,-79.449681,43.69459,2017,March,Spring
457,Kensington Gardens - South Building - 2 East,25 Brunswick Ave,LTCH,Enteric,Norovirus-like,2017-03-04,2017-03-13,Inactive,-79.40368867487679,43.6581346,2017,March,Spring
458,Kensington Gardens - North Building - 2 East & 2 West,45 Brunswick Ave,LTCH,Enteric,Norovirus-like,2017-03-04,2017-03-14,Inactive,-79.404305,43.658784,2017,March,Spring
459,The Annex Retirement Residence,123 Spadina Rd,Retirement Home,Enteric,Unable to identify,2017-03-03,2017-03-16,Inactive,-79.405505,43.67175,2017,March,Spring
460,St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2017-02-28,2017-03-10,Inactive,-79.40424676206896,43.789755968965515,2017,February,Winter
461,Extendicare Bayview,550 Cummer Ave,LTCH,Respiratory,Influenza A,2017-02-26,2017-03-15,Inactive,-79.3904512,43.7932278,2017,February,Winter
462,Kensington Gardens - North Building - 2 West,25 Brunswick Ave,LTCH,Respiratory,Influenza A,2017-02-22,2017-03-01,Inactive,-79.40368867487679,43.6581346,2017,February,Winter
463,Cedarhurst Dementia Care Home,2601 Bayview Ave,Retirement Home,Enteric,Norovirus-like,2017-02-21,2017-03-06,Inactive,-79.3845412,43.7508959,2017,February,Winter
464,Donway Place,8 Donway Pl E,Retirement Home,Enteric,Norovirus-like,2017-02-21,2017-03-05,Inactive,-79.34088734167187,43.7346103,2017,February,Winter
465,Sts. Peter And Paul Residence,221 Milner Ave,Retirement Home,Respiratory,Influenza A,2017-02-21,2017-03-06,Inactive,-79.240031,43.7887289,2017,February,Winter
466,Dom Lipa Nursing Home,52 Neilson Dr,LTCH,Enteric,Norovirus-like,2017-02-20,2017-03-12,Inactive,-79.56570787160844,43.62911145,2017,February,Winter
467,Kennedy Lodge Nursing Home,1400 Kennedy Rd,LTCH,Respiratory,Influenza A,2017-02-19,2017-03-03,Inactive,-79.28034723089634,43.763144877160734,2017,February,Winter
468,West Park Healthcare Centre - 3EA,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza A,2017-02-17,2017-02-27,Inactive,-79.5098225,43.687805,2017,February,Winter
469,Holland Bloorview Kids Rehabilitation Hospital - 3 BIRT,150 Kilgour Rd,Hospital-Chronic Care,Enteric,Unable to identify,2017-02-15,2017-02-19,Inactive,-79.37434881971065,43.7182666,2017,February,Winter
470,The Briton House Retirement Centre - 8th Fl North Tower,720 Mount Pleasant Rd,Retirement Home,Respiratory,Coronavirus,2017-02-15,2017-02-24,Inactive,-79.38972427586208,43.70689917241379,2017,February,Winter
471,Chartwell Guildwood Retirement Residence,65 Livingston Rd,Retirement Home,Respiratory,Coronavirus,2017-02-15,2017-02-27,Inactive,-79.1980788,43.7451732,2017,February,Winter
472,Sunnybrook Health Sciences Centre - LTSE,2075 Bayview Ave,LTCH,Respiratory,Respiratory syncytial virus,2017-02-14,2017-02-23,Inactive,-79.3792695,43.7235801,2017,February,Winter
473,Fudger House - 3 East & 3 West,439 Sherbourne St,LTCH,Respiratory,Metapneumovirus,2017-02-13,2017-02-21,Inactive,-79.373735,43.666208,2017,February,Winter
474,Villa Colombo - 4th Fl Fusco & 5th Fl Fidani,40 Playfair Ave,LTCH,Respiratory,Influenza A,2017-02-12,2017-03-01,Inactive,-79.45668174072816,43.71094909999999,2017,February,Winter
475,Kingsway Retirement Home - 2nd Fl,4251 Dundas St W,Retirement Home,Enteric,Norovirus-like,2017-02-10,2017-02-21,Inactive,-79.513986,43.6591255,2017,February,Winter
476,Mon Sheong Scarborough Long Term Care Centre,2030 McNicoll Ave,LTCH,Respiratory,Influenza A,2017-02-10,2017-02-23,Inactive,-79.2994857,43.8128599,2017,February,Winter
477,Sunnybrook Health Sciences Centre - LGSW,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2017-02-10,2017-02-22,Inactive,-79.3792695,43.7235801,2017,February,Winter
478,Deerwood Creek Care Community - 1A,70 Humberline Dr,LTCH,Respiratory,Coronavirus,2017-02-10,2017-02-24,Inactive,-79.616344,43.731729,2017,February,Winter
479,Terrace Gardens,3705 Bathurst St,Retirement Home,Respiratory,Parainfluenza,2017-02-09,2017-02-18,Inactive,-79.43313103248155,43.73532075,2017,February,Winter
480,Castleview Wychwood Towers - 5th Fl,351 Christie St,LTCH,Respiratory,Influenza A,2017-02-09,2017-03-06,Inactive,-79.42113793274277,43.673349,2017,February,Winter
481,Extendicare Guildwood,60 Guildwood Pky,LTCH,Enteric,Norovirus-like,2017-02-09,2017-02-27,Inactive,-79.203089,43.7462823,2017,February,Winter
482,Humber Valley Terrace - 3rd Fl,95 Humber College Blvd,LTCH,Respiratory,Respiratory syncytial virus,2017-02-09,2017-02-22,Inactive,-79.5994248,43.7307129,2017,February,Winter
483,Village Of Humber Heights - Weston,2245 Lawrence Ave W,LTCH,Respiratory,Influenza A,2017-02-09,2017-02-19,Inactive,-79.527245,43.6972121,2017,February,Winter
484,Claremont Retirement Residence,305 Balliol St,Retirement Home,Respiratory,Respiratory syncytial virus,2017-02-07,2017-02-21,Inactive,-79.386874,43.699176,2017,February,Winter
485,Avondale Retirement Residence,1238 Queen St E,Retirement Home,Respiratory,Influenza A,2017-02-07,2017-02-14,Inactive,-79.3297602125,43.66348025,2017,February,Winter
486,McNicoll Manor/Moll Berczy Haus,1020 McNicoll Ave,Retirement Home,Enteric,Unable to identify,2017-02-07,2017-02-21,Inactive,-79.3361316,43.8042581,2017,February,Winter
487,Downsview Long Term Care Centre - 1 East & 1 Centre,3595 Keele St,LTCH,Respiratory,Influenza A,2017-02-06,2017-02-16,Inactive,-79.48781545714286,43.751348042857146,2017,February,Winter
488,Retirement Suites By The Lake,2121 Kingston Rd,Retirement Home,Respiratory,Influenza A,2017-02-06,2017-02-15,Inactive,-79.2561528,43.6979544,2017,February,Winter
489,Weston Terrace Care Community - Units 1A & 4A,2005 Lawrence Ave W,LTCH,Respiratory,Influenza A,2017-02-06,2017-02-16,Inactive,-79.51072231818182,43.70133497272727,2017,February,Winter
490,Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Respiratory,Respiratory syncytial virus,2017-02-06,2017-03-03,Inactive,-79.40816758965518,43.78889555517242,2017,February,Winter
491,Yee Hong Centre For Geriatric Care - Scarborough Finch,60 Scottfield Dr,LTCH,Respiratory,Influenza A,2017-02-05,2017-02-28,Inactive,-79.25453972658863,43.8086905,2017,February,Winter
492,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,Influenza A,2017-02-02,2017-02-14,Inactive,-79.210221,43.763575,2017,February,Winter
493,Living Life On The Avenue,1066 Avenue Rd,Retirement Home,Enteric,Norovirus-like,2017-02-02,2017-02-14,Inactive,-79.410136,43.705781,2017,February,Winter
494,Princess Margaret Hospital - 14A,610 University Ave,Hospital-Acute Care,Respiratory,Influenza A,2017-02-02,2017-02-10,Inactive,-79.390408,43.65813,2017,February,Winter
495,Providence Healthcare - B3 South Wing,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza A,2017-02-01,2017-02-08,Inactive,-79.2861565,43.7135926,2017,February,Winter
496,Bendale Acres,2920 Lawrence Ave E,LTCH,Respiratory,Influenza A,2017-01-31,2017-02-15,Inactive,-79.2516534,43.7543919,2017,January,Winter
497,Better Living At Thompson House,1 Overland Dr,LTCH,Respiratory,Influenza A,2017-01-31,2017-02-20,Inactive,-79.347342,43.732464,2017,January,Winter
498,L'Chaim Retirement Home,718 Sheppard Ave W,Retirement Home,Respiratory,Influenza A,2017-01-31,2017-02-05,Inactive,-79.44548803076923,43.75419982307693,2017,January,Winter
499,Altamont Care Community,92 Island Rd,LTCH,Enteric,Norovirus-like,2017-01-31,2017-02-16,Inactive,-79.13997840570175,43.7988385,2017,January,Winter
500,Delmanor Prince Edward Retirement Home,4180 Dundas St W,Retirement Home,Enteric,Unable to identify,2017-01-31,2017-02-08,Inactive,-79.50993406250001,43.6609728625,2017,January,Winter
501,Tendercare Living Centre,1020 McNicoll Ave,LTCH,Enteric,Norovirus-like,2017-01-30,2017-02-17,Inactive,-79.3361316,43.8042581,2017,January,Winter
502,Extendicare Guildwood,60 Guildwood Pky,LTCH,Respiratory,Influenza A,2017-01-28,2017-02-16,Inactive,-79.203089,43.7462823,2017,January,Winter
503,The Annex - 3rd & 5th Fl,123 Spadina Rd,Retirement Home,Enteric,Unable to identify,2017-01-27,2017-02-07,Inactive,-79.405505,43.67175,2017,January,Winter
504,Tony Stacey Centre For Veterans Care,59 Lawson Rd,LTCH,Respiratory,Influenza A,2017-01-27,2017-02-17,Inactive,-79.16359737687672,43.78421151514884,2017,January,Winter
505,Rayoak Residence,1340 York Mills Rd,Retirement Home,Respiratory,Coronavirus,2017-01-27,2017-02-21,Inactive,-79.320071,43.76317,2017,January,Winter
506,Gibson Long Term Care - 2nd Fl,1925 Steeles Ave E,LTCH,Respiratory,Influenza A,2017-01-26,2017-02-08,Inactive,-79.3758609,43.807618,2017,January,Winter
507,Toronto Western Hospital - 9A,399 Bathurst St,Hospital-Acute Care,Respiratory,Influenza A,2017-01-25,2017-02-03,Inactive,-79.4059789,43.6537982,2017,January,Winter
508,"Copernicus Lodge - 1 North, 2 North & 3 South",66 Roncesvalles Ave,LTCH,Enteric,Norovirus-like,2017-01-25,2017-02-26,Inactive,-79.447337,43.640435,2017,January,Winter
509,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Respiratory syncytial virus,2017-01-25,2017-03-04,Inactive,-79.2469846,43.7077593,2017,January,Winter
510,St. Joseph's Health Centre - 2LM,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A,2017-01-25,2017-02-02,Inactive,-79.450101,43.639359,2017,January,Winter
511,Sunnybrook Health Sciences Centre - K3E,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2017-01-24,2017-02-04,Inactive,-79.3792695,43.7235801,2017,January,Winter
512,St. Joseph's Health Centre - 6M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A,2017-01-24,2017-02-03,Inactive,-79.450101,43.639359,2017,January,Winter
513,"Fudger House - 2E, 3E, 2W & 3W",439 Sherbourne St,LTCH,Respiratory,Influenza A,2017-01-24,2017-02-13,Inactive,-79.373735,43.666208,2017,January,Winter
514,Castleview Wychwood Towers - 7th Fl,351 Christie St,LTCH,Respiratory,Influenza A,2017-01-23,2017-02-01,Inactive,-79.42113793274277,43.673349,2017,January,Winter
515,Norfinch Care Community - 1A,22 Norfinch Dr,LTCH,Respiratory,Respiratory syncytial virus,2017-01-23,2017-02-01,Inactive,-79.52465315351665,43.75628127207558,2017,January,Winter
516,Sts. Peter And Paul Residence,221 Milner Ave,Retirement Home,Respiratory,Influenza A,2017-01-23,2017-02-09,Inactive,-79.240031,43.7887289,2017,January,Winter
517,Elm Grove Living Centre - 1st & 2nd Fl,35 Elm Grove Ave,LTCH,Respiratory,Influenza A,2017-01-23,2017-02-03,Inactive,-79.43074080619229,43.6403384,2017,January,Winter
518,Michael Garron Hospital - F3,825 Coxwell Ave,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,2017-01-22,2017-02-01,Inactive,-79.3236782,43.6896572,2017,January,Winter
519,North York General Hospital - General Division - 5 West,4001 Leslie St,Hospital-Acute Care,Respiratory,Influenza A,2017-01-22,2017-01-30,Inactive,-79.362213,43.7699003,2017,January,Winter
520,Shepherd Terrace Retirement Residence,5758 Sheppard Ave E,Retirement Home,Enteric,Norovirus-like,2017-01-21,2017-03-04,Inactive,-79.347154,43.7751473,2017,January,Winter
521,Bridgepoint Active Healthcare - 2 South,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2017-01-20,2017-01-24,Inactive,-79.3554469,43.6658608,2017,January,Winter
522,Cummer Lodge,205 Cummer Ave,LTCH,Respiratory,Influenza A,2017-01-20,2017-02-09,Inactive,-79.40816758965518,43.78889555517242,2017,January,Winter
523,North Park Nursing Home - 1st Fl,450 Rustic Rd,LTCH,Respiratory,Respiratory syncytial virus,2017-01-20,2017-01-27,Inactive,-79.48187197868482,43.71729432043269,2017,January,Winter
524,Valleyview Residence - 4th Fl,541 Finch Ave W,LTCH,Respiratory,Unable to identify,2017-01-20,2017-02-07,Inactive,-79.4482104,43.7727096,2017,January,Winter
525,Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Enteric,Norovirus-like,2017-01-20,2017-02-03,Inactive,-79.3726983,43.8083147,2017,January,Winter
526,Humber Valley Terrace,95 Humber College Blvd,LTCH,Respiratory,Influenza A,2017-01-20,2017-02-04,Inactive,-79.5994248,43.7307129,2017,January,Winter
527,Carefree Lodge,306 Finch Ave E,LTCH,Respiratory,Influenza A,2017-01-20,2017-02-07,Inactive,-79.392388,43.7850419,2017,January,Winter
528,Harmony Hills Care Community,1800 O'Connor Dr,LTCH,Enteric,Norovirus-like,2017-01-20,2017-02-10,Inactive,-79.30522822012195,43.7204409,2017,January,Winter
529,Sunnybrook Health Sciences Centre  - LGSE,2075 Bayview Ave,LTCH,Respiratory,Influenza A,2017-01-19,2017-02-09,Inactive,-79.3792695,43.7235801,2017,January,Winter
530,Sunnybrook Health Sciences Centre - LGSW,2075 Bayview Ave,LTCH,Respiratory,Influenza A,2017-01-19,2017-02-02,Inactive,-79.3792695,43.7235801,2017,January,Winter
531,William Osler Health System - 7 West,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Influenza A,2017-01-19,2017-01-27,Inactive,-79.5991896,43.7306053,2017,January,Winter
532,Sunnybrook Health Sciences Centre - LSSE,2075 Bayview Ave,LTCH,Respiratory,Influenza A,2017-01-19,2017-01-29,Inactive,-79.3792695,43.7235801,2017,January,Winter
533,Harold and Grace Baker Centre - C Wing,1 Northwestern Ave,LTCH,Respiratory,Influenza A,2017-01-18,2017-01-22,Inactive,-79.4688897,43.6987718,2017,January,Winter
534,Wesburn Manor - 2nd & 3rd Fl,400 The West Mall,LTCH,Respiratory,Influenza A,2017-01-18,2017-02-09,Inactive,-79.567569,43.643719,2017,January,Winter
535,St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A,2017-01-18,2017-01-29,Inactive,-79.450101,43.639359,2017,January,Winter
536,Yee Hong Centre For Geriatric Care - Ground & 5th Fl,2311 McNicoll Ave,LTCH,Respiratory,Influenza A,2017-01-18,2017-02-02,Inactive,-79.2899939,43.8144476,2017,January,Winter
537,Kennedy Lodge,1400 Kennedy Rd,LTCH,Respiratory,Influenza A,2017-01-18,2017-01-29,Inactive,-79.28034723089634,43.763144877160734,2017,January,Winter
538,St. Joseph's Health Centre - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A,2017-01-18,2017-01-30,Inactive,-79.450101,43.639359,2017,January,Winter
539,Chartwell Scarlett Heights Retirement Residence,4005 Eglinton Ave W,Retirement Home,Respiratory,Coronavirus,2017-01-17,2017-02-02,Inactive,-79.5125369,43.6836338,2017,January,Winter
540,Deerwood Creek Care Community - 3A,70 Humberline Dr,LTCH,Respiratory,Influenza A,2017-01-17,2017-02-03,Inactive,-79.616344,43.731729,2017,January,Winter
541,Toronto Western Hospital - 4B,399 Bathurst St,Hospital-Acute Care,Respiratory,Influenza A,2017-01-17,2017-01-20,Inactive,-79.4059789,43.6537982,2017,January,Winter
542,Belmont House - 2W & 5W,55 Belmont St,LTCH,Respiratory,Influenza A,2017-01-17,2017-02-02,Inactive,-79.39170138466517,43.67449825,2017,January,Winter
